Smiles,Title
CC(C1=CC=CC=C1)N1N=NN=C1C1(NCC2=CC=C(CO)C(F)=C2)C[C@H]2C[C@H]2C1,m_281630____20792984____21617990____20773000
C=CCN1N=NN=C1C1(NCC2=CC=C(CO)C(F)=C2)CCN(CC(C)(C)O)CC1,m_281630____20792984____21619934____20772824
OCC1=CC=C(CNC(C2=CC=C(F)C=C2Br)C2=NN=NN2C2CCOC2)C=C1F,m_281630____20792984____21622424____20772870
COC(=O)CN1N=NN=C1C1(NCC2=CC=C(CO)C(F)=C2)CC2CCCC(C2)C1,m_281630____20792984____21624262____28417840
N#CCCN1N=NN=C1C(NCC1=CC=C(CO)C(F)=C1)C1=C(C2CCC2)OC=N1,m_281630____20792984____21626676____27246250
CCSC1=CC=CC(C(NCC2=CC=C(CO)C(F)=C2)C2=NN=NN2CC(C)C)=C1,m_281630____20792984____21629418____27246246
CCC(C)(CC)C(NCC1(CS(C)(=O)=O)CCOCC1)C1=NN=NN1CC(C)(C)C,m_281630____20792988____21618156____28417820
CC1=C(C)OC(C(NCC2(CS(C)(=O)=O)CCOCC2)C2=NN=NN2CC(C)C)=N1,m_281630____20792988____21624456____27246246
C=CCCN1N=NN=C1C1(NC2(CC)COC2)C[C@H]2CN(C(=O)OC(C)(C)C)C[C@H]21,m_281630____20792990____21617612____28417812
CCC1(NC(C2=C([N+](=O)[O-])C3=CC=CC=C3C=C2)C2=NN=NN2CCC#N)COC1,m_281630____20792990____21619172____27246250
CCC1(NC(C2=NN=NN2C2CC(F)(F)C2)C2(C)OCCC3=CC=CC=C32)COC1,m_281630____20792990____21620734____20772958
CCOC(=O)CCN1N=NN=C1C1(NC2(CC)COC2)CCCC2(CCCCC2)C1,m_281630____20792990____21622596____20772984
CCC1=NN(C)C(CC)=C1C(NC1(CC)COC1)C1=NN=NN1C1CCCCCC1,m_281630____20792990____21624542____20772980
C=C(C)CN1N=NN=C1C(NC1(CC)COC1)C1=CN(C2=CC=CC(F)=C2)N=C1C,m_281630____20792990____21626880____20614582
CCC1(NC(C2=CC=C(S(C)(=O)=O)O2)C2=NN=NN2C2=CC(OC)=CC=C2)COC1,m_281630____20792990____21628832____20773074
CCC1(NC2(C3=NN=NN3C3=CC=C(C(=O)OC)C=C3)COC(C(C)C)C2)COC1,m_281630____20792990____27038928____25335416
O=C1CC(CNC(C2=CN3N=CC=C3N=C2)C2=NN=NN2C2CCCCCC2)CN1,m_281630____20792992____21617902____20772980
COC(=O)CN1N=NN=C1C(NCC1CNC(=O)C1)C1=NC2=CC(Cl)=CC=C2C=C1,m_281630____20792992____21619534____28417840
COC1=CC(C(NCC2CNC(=O)C2)C2=NN=NN2CC(F)F)=CC2=C1OCCO2,m_281630____20792992____21622182____20772852
CC(C)(C)OC(=O)N1CC(C)(C(NCC2CNC(=O)C2)C2=NN=NN2CCC#N)C1,m_281630____20792992____21624238____27246250
C#CC1=CC=C(F)C(C(NCC2CNC(=O)C2)C2=NN=NN2CCC2(C)CC2)=C1F,m_281630____20792992____21627180____25335392
CC1=NN(C2=CC=NC=C2)C=C1C(NCC1CNC(=O)C1)C1=NN=NN1CC(C)C,m_281630____20792992____21629094____27246246
CC1=CC(C)=C(N2N=NN=C2C2(NCC3CNC(=O)C3)CC([Si](C)(C)C)C2)C(C)=C1,m_281630____20792992____27246078____20773108
C[C@@H]1CCC(NC2(C3CCOCC3)CC2)(C2=NN=NN2C2=CC=C3OCOC3=C2)C1,m_281630____20792996____21618728____20773110
CC1(C(NC2(C3CCOCC3)CC2)C2=NN=NN2CCC#N)CC2=CC=CC=C2C1,m_281630____20792996____21620650____27246250
CC1=CC(F)=CC(C(NC2(C3CCOCC3)CC2)C2=NN=NN2CC2=CC=CS2)=C1,m_281630____20792996____21622438____25335384
CC(C)N1N=NN=C1C(CCC1=CC=C2OCCC2=C1)NC1(C2CCOCC2)CC1,m_281630____20792996____21623600____20772828
CN1N=C2CCCCC2=C1C(NC1(C2CCOCC2)CC1)C1=NN=NN1CCC#N,m_281630____20792996____21625032____27246250
N#CCCN1N=NN=C1C(CCC1=C(Cl)C=CC=C1Cl)NC1(C2CCOCC2)CC1,m_281630____20792996____21626952____27246250
COC(=O)CN1N=NN=C1C(NC1(C2CCOCC2)CC1)C1=CN(CC(C)C)N=C1,m_281630____20792996____21629028____28417840
CCCCCCN1N=NN=C1C(C)(NC1(C2CCOCC2)CC1)[C@@H]1C[C@H]2CC[C@@H]1O2,m_281630____20792996____27246006____20772954
COC(C)CCNC(C1=CN(C(C)C)N=C1)C1=NN=NN1C1=C(C)C=C(C)C=C1C,m_281630____20792998____21619320____20773108
COC(C)CCNC1(C2=NN=NN2CC(C)(C)C)CCN(CC2=CC=CC=C2)CC1,m_281630____20792998____21623548____28417820
COC(C)CCNC(C1=NN=C(C2=CC=CC=C2)N1)C1=NN=NN1CC1=CC=CO1,m_281630____20792998____21627654____25335414
CCC1(C)CC(NCCC(C)OC)(C2=NN=NN2CC2=CC(OC)=CC=C2)CCO1,m_281630____20792998____27245880____25335402
CCC(CC(C)C)(N[C@H](CNC(=O)OC(C)(C)C)C(C)(C)C)C1=NN=NN1C1CC1,m_281630____20793002____27245820____20772826
CC(C)CN1N=NN=C1C1(N[C@@H](CNC(=O)OC(C)(C)C)C(C)(C)C)CC(CO)C1,m_281630____20793004____21619800____27246246
CCN1N=NN=C1C1(N[C@@H](CNC(=O)OC(C)(C)C)C(C)(C)C)CCN(C=O)CC1,m_281630____20793004____21626378____20648542
C=CCC(CNC(=O)OC(C)(C)C)NC1(C2=NN=NN2C2(C)CC2)CCC[C@@H](C)C1,m_281630____20793008____21618730____20772840
